work_id,title,author,warnings,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15827037,a god's existence,/users/RamenOverlord/pseuds/RamenOverlord,No Archive Warnings Apply,General Audiences,M/M,Final Fantasy XV,Noctis Lucis Caelum/Ignis Scientia,"Noctis Lucis Caelum, Ignis Scientia","Established Relationship, Alternate Universe, Infernian Ignis, Fluff",English,2018-08-25,Completed,2018-08-25,476,1/1,null,7,4,62,"A brief moment between god and mortal. “There’s that look again,” Noct says, and Ignis blinks when he leans up enough to nudge their noses together. “Penny for your thoughts?” A fond huff escapes him, and Ignis finds himself lost in the endless blue of Noct’s gaze. Like looking at the horizon, where the sky and ocean meet, and being unable to tell where one ends and the other begins, if they are even separate at all."
15808980,Colors of the heart,/users/Niko_Net/pseuds/Niko_Net,Creator Chose Not To Use Archive Warnings,Mature,M/M,SpongeBob SquarePants (Cartoon),Spongebob Squarepants/Squidward Tentacles,"SpongeBob SquarePants, Squidward Tentacles, Patrick Star, Sandy Cheeks, Eugene Krabs, Sheldon J. Plankton",,English,2018-08-25,Completed,2018-08-25,5026,1/1,null,null,null,16,Based off Narmaks anime opening.
15805386,Just A Perfect Day:,/users/stevedannolover100781/pseuds/stevedannolover100781,"Creator Chose Not To Use Archive Warnings, No Archive Warnings Apply, Underage",Mature,M/M,Hawaii Five-0 (2010),"Steve McGarrett/Danny ""Danno"" Williams","Steve McGarrett, Danny ""Danno"" Williams","Depression, Sad, Sadstuck, General, Drama, Hurt/Comfort, Emotional Hurt/Comfort, Rating: M, Ratings: R, Romance, Slash, Male Slash, Kissing, Boys Kissing, Boys In Love, Consensual, Established Relationship, Mild Sexual Content, Family, Beaches, Food, Soft Drinks, Soft Drinks/Sodas, Happy, Happy Ending, Snack/Snacks",English,2018-08-25,Completed,2018-08-25,236,1/1,null,2,1,42,"*Summary: Steve needs some cheering up, Danny & the kids went to do just that, What happens?, Stay Tuned, It’s gonna be a good one!!!!*"
15801279,Late Night Road Head,/users/ariestess/pseuds/A%20Magiluna%20Stormwriter,No Archive Warnings Apply,Mature,F/M,Once Upon a Time (TV),Evil Queen | Regina Mills/Robin Hood,"Evil Queen | Regina Mills, Robin Hood (Once Upon a Time)","Alternate Universe - Canon Divergence, Established Relationship, OQ on Holidays Week, Blow Jobs in a Car, Vacation",English,2018-08-25,Completed,2018-08-25,1057,1/1,8,8,null,140,"The kids are asleep in the backseat, so road head? Why not?"
15800676,Friends with (health) benefits,/users/ivyness/pseuds/ivyness,No Archive Warnings Apply,Teen And Up Audiences,F/F,DCU (Comics),Pamela Isley/Harleen Quinzel,"Poison Ivy, Harley Quinn","au yeah august, Alternate Universe, Friends With Benefits, Health Benefits",English,2018-08-25,Completed,2018-08-25,572,1/1,2,14,null,142,Harley makes a trade
15799932,toxicity,/users/0biz/pseuds/0biz,Creator Chose Not To Use Archive Warnings,General Audiences,Gen,Battle For Dream Island (Web Series),Book & Ruby,"Book, Ruby",Friendship,English,2018-08-26,Completed,2018-08-26,242,1/1,null,6,null,15,Ruby and Book have a talk.
15799914,Quixotic,/users/wasted_potential_007/pseuds/wasted_potential_007,No Archive Warnings Apply,Teen And Up Audiences,F/F,Marvel Cinematic Universe,Maria Hill/Natasha Romanov,"Maria Hill, Natasha Romanov (Marvel)","fluff- ish?, they're both idiots, i love them, Kissing",English,2018-08-26,Completed,2018-08-26,1341,1/1,6,56,2,493,Natasha tries to ask Maria on a date. It doesn't go so well.
15799899,It Was Always You,/users/BardsandNoble/pseuds/BardsandNoble,No Archive Warnings Apply,Teen And Up Audiences,M/M,Dalton Academy Series,Julian Larson-Armstrong/John Logan Wright III,"Julian Larson-Armstrong, John Logan Wright III, Derek Seigerson",dalton big bang 2018,English,2018-08-26,Completed,2018-08-26,1646,1/1,2,9,null,40,"Day 22 - Jogan: Confession A solid month late. Sorry this is dialogue heavy, but like, ~feelings~ or whatever."
15799878,"All my friends are queer, screamy, and sad",/users/NyannyCat_13/pseuds/NyannyCat_13,Creator Chose Not To Use Archive Warnings,Not Rated,M/M,Hamilton - Miranda,Alexander Hamilton/Thomas Jefferson,"Alexander Hamilton, John Laurens, Gilbert du Motier Marquis de Lafayette, Hercules Mulligan, James Madison, Thomas Jefferson, Elizabeth ""Eliza"" Schuyler, Margaret ""Peggy"" Schuyler, Angelica Schuyler","Thomas Jefferson and the Marquis de Lafayette are Twins, Texting, Other Additional Tags to Be Added",English,2018-08-26,Completed,2018-08-26,723,1/1,null,14,1,153,DidneyWorl: I said strive to be Alex not back away in fear fromMac n Liberty: hahahahaHam-i-lion: sHuT uP
15799860,"I'm Fine, Kid",/users/VolarFinch/pseuds/VolarFinch,Creator Chose Not To Use Archive Warnings,Teen And Up Audiences,Gen,The Adventure Zone (Podcast),"Aubrey Little & Duck Newton, Duck Newton & Momma, Aubrey Little & Momma","Aubrey Little, Duck Newton, Ned Chicane (mentioned), Momma - Character, The Lady Flame","past trauma, Sibling Relationship, Comfort, Angst, hurt to comfort, The hospital scene we were robbed of, where aubrey and duck have a talk, I love Aubrey Little, Aubrey and Duck are siblings sorry I don't make the rules, Aubrey Little Tried Her Best, TAZ: Amnesty - Freeform, the adventure zone - Freeform, Amnesty, The Adventure Zone: Amnesty, The Pine Guard, episode 14, This Isn't Tagged As Ship, They're siblings okay",English,2018-08-26,Completed,2018-08-26,1089,1/1,11,77,5,265,"“And I nearly got you killed, Duck!” Aubrey interrupted shortly, turning to him. Her eyes were like burning embers in the room, filled with tears. Duck could just faintly smell smoke. “This is my fault and I get it, I fucked up, you don’t need to pretend that I didn’t do anything wrong––” “But you didn’t!” Duck responded firmly. “That sign was going to fall over either way and, in the end, all of us are fine––Leo’s fine, Denny’s fine, I’m fine, everyone’s okay, kid. You don’t gotta’ worry about any of us being hurt.”"
