work_id,title,author,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15566952,Awesome Closet.,/users/FeliciaAmelloides/pseuds/FeliciaAmelloides,General Audiences,Gen,nonfandom,,,"description, closet, Narrative, Writing practise, Drabble",English,2018-08-02,Completed,2018-08-02,362,1/1,null,null,null,1,A description of someone’s ridiculously oversized closet.
15546996,Deep Breaths,/users/ivyness/pseuds/ivyness,Teen And Up Audiences,M/M,The Avengers (Marvel) - All Media Types,"James ""Bucky"" Barnes/Clint Barton","James ""Bucky"" Barnes, Clint Barton","Alternate Universe - College/University, sorta - Freeform, au yeah august, Mental Health Issues",English,2018-08-02,Completed,2018-08-02,2693,1/1,8,51,6,376,"Coffee, arrows, and air vents. A love story."
15546444,Staying Warm In A Hotel,/users/LoveFandoms828/pseuds/LoveFandoms828,Mature,M/M,Grand Theft Auto V,Lamar Davis/Trevor Philips,"Lamar Davis, Trevor Philips","Older Man/Younger Man, Interracial Relationship, First Time Bottoming, Gentle Sex, Smut, Bottom Lamar, Top Trevor, Bromance to Romance, Kissing, Cuddling & Snuggling, Warm, loving, Affection, One Shot, One of My Favorites",English,2018-08-02,Completed,2018-08-02,1124,1/1,null,1,null,35,"It started raining, getting cold outside so, Lamar and Trevor decide to stay at a hotel for the night. They were getting warm, which leads to something more.  [Trevor x Lamar] ♡"
15546441,winding down,/users/coldplayergeek/pseuds/coldplayergeek,Explicit,M/M,Fire Emblem: Kakusei | Fire Emblem: Awakening,Chrom/My Unit | Reflet | Robin,"My Unit | Reflet | Robin, Chrom (Fire Emblem)","Plot What Plot/Porn Without Plot, Orgasm Denial, Power Bottom, Frustration",English,2018-08-03,Completed,2018-08-03,2184,1/1,1,30,1,583,"chrom's tired after a long day of negotiating with plegia, and robin decides to take his mind off of it.pwp, mlm chrobin obviously"
15546420,Letters,/users/KikoRush96/pseuds/KikoRush96,General Audiences,F/M,Avatar: The Last Airbender,"Mai/Zuko (Avatar), Aang/Katara (Avatar), Katara/Zuko (Avatar)","Mai and Zuko's Daughter, Kya (Avatar), Zuko (Avatar), Katara (Avatar), Sokka (mentioned), Iroh (mentioned), Toph (Mentioned) - Character","implied Zutara, Mostly Canon Complient, bitter sweet, Izumi and Kya are best friends, Zutara Week, Zuko and Katara are in the Spirit World, Fire Lord Zuko",English,2018-08-03,Completed,2018-08-03,1768,1/1,null,8,null,140,"Zuko's daughter, Fire Lord Izumi, and Katara's daughter, Kya, are both really good friends. One day, Izumi and Kya meet up for tea, where Izumi reveals some hidden letters from Katara to Zuko. After reading through them, they both become curious about just how close their parents were. (Featuring Zuko and Katara, passed on by then, watching from the Spirit World)"
15546375,Reluctant Questing,/users/godaime_obito/pseuds/godaime_obito,Teen And Up Audiences,M/M,Naruto,Senju Tobirama/Uchiha Madara,"Uchiha Madara, Senju Tobirama, Orochimaru (Naruto), Ootsutsuki Kaguya","kaguya is mainly just mentioned, MadaTobi Week 2018, Alternate Universe - Fantasy",English,2018-08-03,Completed,2018-08-03,1376,1/1,8,69,7,480,"Madatobi week; August 3rd: Supernatural/fantasy Tobirama has never been fond of the biggest convening of wizards, and knowing he'll have to see Madara again after all these years isn't helping."
15546366,thoughts of you,/users/pqrker/pseuds/pqrker,Teen And Up Audiences,"M/M, Other",Camp Camp (Web Series),Max/Neil (Camp Camp),"Max (Camp Camp), Neil (Camp Camp), Nikki (Camp Camp), David (Camp Camp)","Maxneil, neilmax, little bit of dadvid, Aged Up",English,2018-08-03,Completed,2018-08-03,1134,1/1,4,33,1,333,i fell into maxneil hell so have this fic. they’re 16 or 17 in their last year of camp.
15546360,"First, Do No Harm",/users/Marks/pseuds/Marks,Teen And Up Audiences,M/M,hipunoshisumaiku | Hypnosis Mic (Albums),Amemura Ramuda/Jinguji Jakurai,"Amemura Ramuda, Jinguji Jakurai","Injury, Hurt/Comfort, Emotional Hurt/Comfort, Kissing, Exes, Post-Break Up, Doctor/Patient, Medical Procedures",English,2018-08-03,Completed,2018-08-03,1285,1/1,16,60,4,337," True, a year ago this would have been his worst nightmare. But, of course, that was all in the past now."
15546354,Hugs!,/users/geecee/pseuds/geecee,General Audiences,"F/M, Gen","Final Fantasy VII, Compilation of Final Fantasy VII",Tifa Lockhart/Reno/Rude,"Tifa Lockhart, Reno (Compilation of FFVII), Rude (Compilation of FFVII)",Fanart,English,2018-08-03,Completed,2018-08-03,33,1/1,6,3,null,41,Tifa loves the dolls!
15546336,Call In Your Bets,/users/sequence_fairy/pseuds/sequence_fairy,Explicit,F/M,Bleach,Inoue Orihime/Ishida Uryuu,,"Canon Compliant, Post-Chapter 686, Adultery",English,2018-08-03,Completed,2018-08-03,723,1/1,null,3,null,32,"Her name in his mouth, his hands in her hair, it's all she ever needed."
